id,isim,mahalle,enlem,boylam,oda_tipi,fiyat,yorum_sayisi
4826,The Place,Uskudar,41.0565,29.05367,Entire home/apt,720,1
20815,The Bosphorus from The Comfy Hill,Besiktas,41.06984,29.04545,Entire home/apt,816,41
27271,LOVELY APT. IN PERFECT LOCATION,Beyoglu,41.03254,28.98153,Entire home/apt,233,13
28277,Duplex Apartment with Terrace,Sisli,41.04471,28.98567,Hotel room,761,0
28318,Cosy home overlooking Bosphorus,Sariyer,41.09048,29.05559,Entire home/apt,823,0
29241,"↪ Istanbul, Your second house ",Beyoglu,41.04844,28.95254,Private room,343,0
30697,nice home in popular area,Beyoglu,41.0335,28.97626,Private room,768,1
33368,Deluxe double bedroom @ Nisantasi,Sisli,41.05382,28.99739,Private room,384,1
34925,A room in galata beyoglu,Beyoglu,41.02704,28.97588,Private room,473,0
35580,Sea View terrace  House,Beyoglu,41.03658,28.97213,Entire home/apt,459,38
35938,Cosy Room in Istanbul Center,Besiktas,41.04902,28.99829,Private room,514,0
41753,Örücü Palace / Princess Apartment,Beyoglu,41.02725,28.97718,Entire home/apt,453,46
44421,Beautiful Studio With A View,Beyoglu,41.03089,28.98054,Private room,926,86
44429,"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",Beyoglu,41.03082,28.97958,Entire home/apt,322,22
47264,Kurucesme stunning seaview peacfull Flat,Besiktas,41.06464,29.0358,Entire home/apt,514,9
47377,Double Room in Taksim,Beyoglu,41.03467,28.98902,Private room,343,0
48346,Charming Apartment in Kuzguncuk,Uskudar,41.03485,29.03155,Entire home/apt,459,12
49955,A room with a view of Bosphorous.,Fatih,41.01717,28.96325,Private room,384,0
52828,Prince(Garden Apart),Beyoglu,41.02752,28.97858,Entire home/apt,453,27
58441,Private  studio bestlocation@Taksim,Beyoglu,41.0385,28.98189,Entire home/apt,233,16
60923,1+1 Closed to Taksim Square,Sisli,41.04693,28.98002,Entire home/apt,240,0
62172,Central Location Taksim/Cihangir ,Beyoglu,41.03442,28.98561,Private room,617,0
62817,Quiet room in central apartment,Beyoglu,41.03638,28.9909,Private room,302,74
77190,flat with garden'n' terrace taksim,Beyoglu,41.03343,28.99057,Entire home/apt,212,33
77292,Gümüşsuyu Apartment,Beyoglu,41.03656,28.98873,Entire home/apt,768,0
87024,Nisantasi Studio Apartment,Sisli,41.05018,28.99015,Entire home/apt,1070,0
88949,Wonderful room with Historical View,Beyoglu,41.03326,28.97876,Private room,206,86
97800,Bosphorus Views,Beyoglu,41.02945,28.97404,Entire home/apt,501,0
101397,❛Cozy • Clean • Central • Room❜,Beyoglu,41.03082,28.98053,Private room,117,68
108164,Kurucesme design amazing seaview  forest room,Besiktas,41.06341,29.0364,Private room,137,6
108537,Cihangir Connection,Beyoglu,41.03103,28.984,Entire home/apt,343,3
114786,Blue Mosque View in Sultanahmet,Fatih,41.0063,28.97916,Entire home/apt,686,75
124137,Beautiful Artist's home staycation,Beyoglu,41.03277,28.98822,Entire home/apt,425,18
124147,"Beautiful room in an Artist's home, staycation",Beyoglu,41.03249,28.99102,Private room,206,171
127912,"View, Kid-friendly, Central @Taksim",Beyoglu,41.03625,28.99129,Entire home/apt,377,28
130225,Room in a modern home.,Kadikoy,40.97618,29.04442,Private room,343,1
130231,Flat with super Golden Horn view,Beyoglu,41.03398,28.97297,Entire home/apt,542,26
133148,Eveything you need - as you wish,Kagithane,41.06496,28.95651,Entire home/apt,1028,0
135956,Single private room in shared flat,Beyoglu,41.02893,28.9779,Private room,89,27
136818,warm family place ..,Kadikoy,40.98242,29.05151,Private room,446,0
138394,Entire Flat at Cihangir/Taksim,Beyoglu,41.03282,28.98537,Entire home/apt,823,0
139351,flat in galata 150sqm fantastic vue,Beyoglu,41.02543,28.97535,Entire home/apt,521,36
139804,Entire house in central Kadikoy,Kadikoy,40.98373,29.02865,Entire home/apt,343,8
140269,Penthouse in Taxim -with 2 bedrooms,Beyoglu,41.03577,28.9773,Entire home/apt,384,129
140952,(-55%)28nts in may 300€:Best LocationDuplex@Taksim,Beyoglu,41.03895,28.98387,Entire home/apt,343,8
146854,Beautiful & Super Deluxe Flat,Sisli,41.04753,28.9803,Private room,411,0
158461,Friendly Family Home,Adalar,40.87171,29.1291,Private room,686,0
158618,King Suite Studio  Near Taksim Square,Beyoglu,41.03767,28.98219,Private room,425,0
160809,"""Homeinİstanbul"" wGreat Location",Beyoglu,41.03224,28.98714,Entire home/apt,274,13
162180,Nice flat in historical Galata ,Beyoglu,41.02622,28.97488,Entire home/apt,960,1
163785,Fully furnished bosphorus view,Sariyer,41.16308,29.03753,Private room,891,0
164216,Ottoman Flat 2BR @Taksim Square,Beyoglu,41.03614,28.98163,Entire home/apt,686,36
166265,Apartment in the Heart of the City1,Beyoglu,41.03919,28.98266,Entire home/apt,302,146
